id,text
304,"Bán nhà liền kề 3 mặt thoáng ngay Goldmark City 136 Hồ Tùng Mậu, phường Phú Diễn, quận Bắc Từ Liêm, Hà Nội.
Diện tích 100m2 gồm 5 tầng, lô góc 3 mặt thoáng, hiện nhà để thô cho chủ mới hoàn thiện.đường phân lô rộng xe pháo thoải mái
Sổ đỏ chính chủ
Giá bán: 17,5 tỷ"
305,"Bán giúp chị gái mảnh đất tại khu đấu giá 31ha, TT Trâu Quỳ:
+ Diện tích: 101,5m2
+ Mặt tiền  mặt hâu: 5m
+ Hướng: Tây
+ Pháp lý: Sổ đỏ chính chủ
+ Đất nằm ở vị trí siêu đẹp, view thoáng, nhìn sang nhà văn hóa, có thể đỗ ô tô bên đó rất tiện lợi, khổ đất đẹp, không chút lỗi lầm, rất phù hợp để xây dựng nhà cửa ở định cư lâu dài.
+ Xung quanh đầy đủ tiện ích, gần ngay trung tâm hành chính công mới của Gia Lâm, gần trường học, bệnh viện, Vincom Gia Lâm.Còn rất nhiều dự án lớn đang xây dựng, có cả trung tâm thương mại mới của Eurowindow cũng đang xây, tiềm năng phát triển rất sầm uất.
+ Giá bán: 10,96 tỷ (108tr/m2). Mua bán có ra lộc.
+ Hỗ trợ vay ngân hàng, thủ tục sang tên sổ đỏ.
+ Cam kết bán đúng giá, không thu phí bên mua, hỗ trợ xem đất miễn phí 24/7"
306,"BÁN NHÀ DÂN XÂY TRUNG TÂM SÀI ĐỒNG - LONG BIÊN - DIỆN TÍCH RỘNG- THIẾT KẾ HỢP LÝ- ĐỦ CÔNG NĂNG- NHIỀU TIỆN ÍCH XUNG QUANH
- dt: 47m2  - mt 4m - nhỉnh 2tỷ
- 200m ra đường NGUYỄN VĂN LINH
- trước nhà, thoáng mát sạch sẽ
- gần chợ, trường học các cấp
- khu vực đông dân cư, dân trí cao
- SĐCC, giao dịch ngay
- chủ nhà ra lộc cho khách thiện chí
LH: zalo MINH TÀI. Để được tư vấn và xem nhà miễn phí!"
307,"Trung tâm thanh xuân đẹp long lanh SS 50m X 5T, 5.2 TỶ
NHÀ ĐẸP TRUNG TÂM QUẬN THANH XUÂN, GẦN HỒ ĐẸP LONG LANH - TỰ XÂY CHẮC CHẮN - BƯỚC CHÂN RA ĐƯỜNG HẠ ĐÌNH  KHƯƠNG ĐÌNH - GẦN NHIỀU TRƯỜNG ĐẠI HỌC . C1,C2 MẦM NON ĐẠT CHUẨN.
Diện tích 50m 5 tầng.
Tổng 6 PN  hơn 5 tỷ có tl.
Nhà thiết kế : Phòng Khách +bếp +p. ngủ + Phòng thờ + sân phơi. Sổ đỏ cất két sẵn sàng giao dịch.
Xem vị trí vào việc liên hệ Mrs THU RUBY"
308,"Siêu phẩm trung tâm thanh xuânhà kế tấn 50m X 4T, 11.2 tỷ có TL.
NHÀ ĐẸP TRUNG TÂM THANH XUÂN
KHU PHÂN LÔ- Ô TÔ TRÁNH-KINH DOANH SẦM UẤT.
-50m 4tầng MT 4m giá chào 11.2 tỷ
Mô tả: Thiết kế , cầu thang giữa  nhà.
Tâng1 : gara ô tô, xe máy, wc.
Tầng2 : phòng kháchphòng ngủ wc.
Tầng 3,2 phòng ngủ và wc.
Tầng 4: phòng thờ  và sân phơi.
Sổ đỏ vuông đẹp, sẵn sàng giao dịch.
Khách quan tâm liên hệ"
309,"- Diện tích: 70m2
- Hướng: Tây
Nhà sân cổng riêng gồm: phòng khách, bếp, 3 phòng ngủ, 3wc, phòng thờ và sân phơi, sân sau.
Vị trí: Hoàng Mai, Đồng Thái, ngay chợ Hoàng Mai, cách PG An Đồng chỉ 500m, 5p chạy xe sang phố,.
- Hỗ trợ vay vốn ngân hàng lên đến 70% giá trị định giá căn nhà."
310,"HIẾM, BÁN NHÀ MẶT PHỐ VƯƠNG THỪA VŨ, THANH XUÂN, VỈA HÈ, KINH DOANH ĐỈNH, DT 50M, 4 TẦNG, MT 4M, CHỈ 12.3 tỷ
- Vị trí rất đẹp của phố Vương Thừa Vũ, 1 mặt phố, 1 mặt ngõ 3m, Xung quanh có nhiều tiện ích.
- Khu quân đội, dân trí cao, an ninh trật tự tốt, thuận tiện giao thông đi lại ra các phố Hoàng Văn Thái, Tô Vĩnh Diện, Lê Trọng Tấn,  Trường Chinh., mấy phút ra Ngã Tư Sở.
- Sổ đỏ sẵn sàng giao dịch."
311,"Chính chủ cần bán đất biệt thự liền kề khu đô thị Cổ Dương, huyện Đông Anh, Hà Nội, diện tích 165, mặt tiền 10m ( Có thể bán 1/2), trước cổng trường cấp III Acsimet đang xây dựng, khu vực VIP tại Đông Anh, tiềm năng phát triển, tăng giá cực cao trong tương lai gần, giá chỉ 8x/m2 (MTG)"
312,"HÀNG HIẾM - PHÂN LÔ - OTO ĐỖ CỬA - MẢNH ĐẤT HIẾM HOI CÒN SÓT LẠI - KV CẦU GIẤY.
NGUYỄN KHẢ TRẠC- PHẠM THẬN DUẬT - DOÃN KẾ THIỆN - HOÀNG QUỐC VIỆT KÉO DÀI
- Bán đất tặng nhà cấp 4 cho thuê. Nhà thuộc phân lô khu cán bộ, cách phố 1 dãy nhà.
- Xung quanh tiện ích đầy đủ, gần chợ Đồng Xa, trường mầm non, công viên, các trước ĐH nổi tiếng: ĐH Thương Mại, ĐH Sư Phạm, ĐH Ngoại Ngữ, ĐH Báo chí.
- Giá trị tương lai vô cùng lớn, nhà chỉ cách con đường Hoàng Quốc Việt kéo chưa đầy 300m.
- Sổ đỏ chính chủ, sẵn sàng giao dịch.
- Giá: 6,65 tỷ
- Liên hệ chủ nhà: Hùng."
313,"- Dự báo bđs phân khúc nhà ở năm nay sẽ chuyển mình một cách mạnh mẽ. Khi bđs đất phân lô thổ cư, đang bị nhà nước quản lý nghiêm ngặt và xiết chặt. Điều đó đã làm các nhà đầu tư đang lo ngại vì tính thanh khoản và pháp lý chưa thực sự rõ ràng.
- Vô hình chung bđs nhà ở sẽ trở thành phân khúc được nhà đầu tư gửi gắm sẽ mang lại lợi nhuận cao vì:
- Đất ở ngày càng hiếm trong các quận nôi đô.
- Tâm Lý người mua ở càng ngày càng ngại tự xây nhà.
- Giá nhà đất mỗi năm đều tăng từ 20 - 30%.
- Giao thông càng ngày càng phát triển,
- Xu hướng dịch chuyển về ở ngoại thành càng nhiều.
Nắm bắt được các vấn đề đó, công ty chúng tôi, đã xây dựng thêm nhiều dự án nhà ở giá tốt cho các nhà đầu tư F0 có thể đầu tư, với lợi nhuận tương đối cao, chỉ với số vốn ít.
- Công ty chúng tôi xây dựng các dự án nhà ở, diện tích đều từ 30 - 45m2 tùy từng khu vực (chương Mĩ, Hoài Đức. Quốc oai. Thạch Bích. Vv).
- Giá bán chỉ từ 1,35 tỷ (đóng tiền theo tiến độ).
- Các căn đều có bản vẽ thiết kế, sơ đồ điện nước, hợp đồng mua bán, cam kết bàn giao. V. V.
- Pháp lý đầy đủ, rõ ràng.
- Hỗ trợ vay ngân hàng."
314,"- Thiết kế: 30m2 x 5 tầng.
Đầy đủ công năng 4 phòng: Khách, bếp, ngủ, sân phơi.
Vừa ở, vừa kinh doanh homestay 20tr/tháng hoặc bán hàng online.
- Vị trí: Trung tâm bậc nhất Hà Nội. Vài phút đến Hồ Gươm, Lăng Bác, gần nhiều phố trung tâm hàng Bông, hàng Gà.
Không sân chung, ko khu tập thể. Giá hơn 4 tỷ mua đc nhà khu vực cưc hiếm nhà bán.
- Pháp lý đủ, sổ đỏ riêng."
315,"TRUNG TÂM CẦU GIẤY - LÔ GÓC 2 THOÁNG - NGÕ THÔNG CÁC NGẢ - PHỐ NGUYỄN KHANG - NGÕ 381, NGÕ 445 NGUYỄN KHANG - TIỆN ÍCH XUNG QUANH KHÔNG THIẾU GÌ.
Mô tả:
- Vị trí tuyệt vời, nhà có thể đi từ nhiều ngõ 79 Cầu Giấy, 381-445 Nguyễn Khang. chủ nhà tự xây tâm huyết,khung cột bê tông chắc chắn. An sinh tuyệt vời,tiện ích không thiếu gì.
Thiết kế:
- Tầng 1: Phòng khách, bếp,vệ sinh.
- Tầng 2,3,4: Mỗi tầng 1 phòng, vệ sinh.
- Tầng 5: Phòng thờ, sân phơi.
+ Sổ vuông đét cất két.
+ Liên hệ: Hùng nhà đẹp."
316,"Siêu  Phẩm - 5 Tầng - Ô Tô 7 Chỗ Cách  Nhà 10 m - Hai Mặt Thoáng
Bán Nhà Khương Trung, DT35m, 5 Tầng,MT 4 m, Giá 4.38 tỷ Thanh Xuân.
Mô tả:
+ Nhà xây 5 tầng, tổng 3 phòng ngủ khép kín.
- Tầng 1: Phòng khách bếp + WC.
- Tầng 2,3,4: Mỗi tầng 1 Ngủ + WC
- Tầng 5: Phòng thờ + sân phơi.
+ Trước nhà xe ba gác đi qua thoải mái, cách 10 mét ra  Khương Trung, ngay gần Đầm Hồng.
+ Bãi ô tô ngay gần nhà.
+ Vị trí đỉnh của đỉnh, tầm tiền không có căn thứ 2.
+ Sổ đỏ đẹp sẵn sàng giao dịch."
317,"Diện tích 36m2, mặt tiền 4m, nhà 4 tầng chắc chắn
Mô Tả:
- Vị Trí Trung Tâm Thành Phố, thuộc Khương Đình, Thanh Xuân, giao thông thuận tiện đi các ngả, Xung quanh tiện ích ngập tràn, hàng xóm thân thiện, an ninh tốt. Khu vực và tầm tiền bạt ngàn khách.
- Nhà xây được vài năm chủ giữ gìn còn như mới, chủ đã mua nhà mới đã sắm đủ nội thất phù hợp với nhà mới nên để lại nội thất khách mua về chỉ việc ở luôn.
-Thiết Kế tầng 2 phòng, wc cầu thang giữa.
Tổng 4phòng ngủ, phòng khách, bếp, phòng thờ, sân phơi đầy đủ công năng sử dụng.
- sổ đỏ chính chủ giao dịch ngay.
Liên hệ: Văn Hậu (đt/zalo) Tư vẫn, hỗ trợ thủ tục mua bán chuyển nhượng B-ĐS khu vực Hà Nội"
318,"NHÀ ĐẸP PHỐ KHƯƠNG ĐÌNH - THANH XUÂN- SỔ PHÂN LÔ- TẶNG LẠI NỘI THẤT- NHÀ ĐẸP GIÁ HỢP LÝ 36M2 - 3.6 TỶ!
- Khu vực trung tâm cách mặt phố vài phút đi bộ. Khu vực yên tĩnh, an sinh tuyệt vời.
- Thiết kế: 4 ngủ, 3wc.
- Sổ đỏ phân lô, cất két chờ giao dịch."
319,"BÁN NHÀ KIM GIANG THANH LIỆT THANH TRÌ 42M2 5 TẦNG NGÕ TRƯỚC NHÀ KHOẢNG 3M Ô TÔ CÁCH 10M.
Mô tả:
- Vị trí cực đẹp ngõ nông an sinh tốt hàng xóm thân thiện ở sướng .
- Nhà có thể đi từ 3 lối ngõ 858, 902 Kim Giang , 59  Thanh Liệt đi vào. Ô tô cách nhà 10m lùi cửa khi cần  ngõ đi vào thì rộng khoảng tầm 5m gì đó.
- Thiết kế :
+Tầng 1: phòng khách + bếp.
+Tầng 2,3,4: mỗi tầng 2 phòng .
+Tầng 5 : phòng thờ+ sân phơi.
- Sổ đỏ chính chủ nở hậu sẵn giao dịch.
Lh: Đức Lưu để được xem nhà miễn phí.
Số ĐT:"
320,"Mặt phố, T04 Vũ Trọng Phụng, 43M, 3T, MT3.7, chỉ 15xx tỷ. Kinh doanh, cho thuê.
BÁN ĐẤT TẶNG  NHÀ - MẶT PHỐ CỰC HIẾM - KINH DOANH SẦM UẤT - GẦN CHỢ THUỐC HAPUCO.
Nhà hiện trạng 3 tầng cũ chủ đang cho thuê 30 triệu / tháng.
Vị trí đắc địa, trung tâm quận Thanh Xuân. Giao thông thuận tiện
43 mét, 3 tầng, mặt tiền 3,7 mét, giá chỉ 15xx tỷ.
Sổ đỏ chính chủ, giao dịch ngay.
Thái 52 tuổi"
321,"Cần bán nhà cực đẹp,giá rẻ.Xây Liền Kề,Đại Thành,Quốc Oai.(45m2-4pn)Ôtô đỗ cửa.Chỉ 1.25tỉ.
Tôi bán nhà xây mới tại Đại Thành - Quốc Oai. Nhà xây mới tâm huyết chắc chắn, 4 tầng 3 phòng ngủ thoáng mát, phù hợp gia đình, vợ chồng trẻ và con cái.
- Diện tích: 45m2.
- Mặt tiền: 5m
- Thiết kế: 3 tầng phong cách hiện đại đầy đủ công năng, 4 PN. Có cả hướng đông nam, tây bắc!
- Hoàn thiện: Đầy đủ nội thất cơ bản: Giường, tủ, tủ bếp, kệ bếp, lan can cầu thang gỗ, điều hòa, nóng lạnh, thiết bị vệ sinh cao cấp, cửa.
- Tiện ích: Gần kề trục chính ô tô đi lại tấp nập, buôn bán ngày đêm đầy đủ tiện ích dân sinh: Chợ, trường học, trạm y tế.
- Giao thông: Nằm gần các trục chính di chuyển thuận lợi như: Đại Lộ Thăng Long, bến xe Yên Nghĩa, Lê Trọng Tấn Hà Đông, đi thị trấn Chúc Sơn, trung tâm huyện Quốc Oai.
- Sổ đỏ chính chủ, chuẩn pháp lý sẵn sàng sang tên ngay.
- Hỗ trợ vay vốn ngân hàng cho khách hàng có nhu cầu.
- Giá chào bán: 1.25 tỷ giá bán thô. Hoàn thiện 1.45 tỉ.(Bao phí thuế sang tên sổ)
- Lh: Đức Quân đại diện CĐT để được tư vấn. Xin cảm ơn!"
322,"Tuyệt đỉnh!  4,4tỷ, nhà 35m2, 5 tầng, ô tô tại Bồ Đề, Long Biên.
+ Ô tô vào nhà, thông từ ngõ này sang ngõ khác, thông ra phố Lâm Du, Hồng Tiến, Nguyễn Văn Cừ
+ Kinh doanh, mở cửa hàng, công ty, đầu tư  làm gì cũng hái ra tiền.
+ Nhà thiết kế hiện đại, sang trọng, đủ các công năng, vào nhà là mê đắm.
+ Gần trường học, khu Hành chính Phường, trường Quốc tế, Bệnh Viện Tâm Anh, 3 bước ra đến hồ, 5 bước ra đến chợ, 9 phút sang đến hồ Gươm.
+ Giá: 4,4tỷ/35m2
Liên hệ: Mrs Lung để xem nhà (miễn TG)"
323,"Bán Nhà -Nguyễn An Ninh-Quận Hoàng Mai-Hà Nội
Tuyệt phẩm nhà mới xây .nội thất đẳng cấp .1 căn duy nhất lô góc 2 mặt thoáng
nhà xây 5 tầng diện tích 41m2 giá chào bán 5,5 tỷ
tầng 1: phòng khách ,bếp, wc
tầng 2,3,4 : mỗi tầng 2 phòng ngủ+wc
tầng 5: phòng thờ sân"
324,"SP 58 : Nam Hà  4 xào ( 32 x 100 ) nở hậu 45 sẵn 100m Thổ cư,QH ĐẤT Ở 50%
trong khu xác nhập tp đà lạt, cách đà lạt 28km,sân bay 22km
Vij trí : thôn hoàn kiếm 1 , nam hà
DT : 4 xào ( 32 x 100M) nở hậu 45
Sẵn 100m tc quy hoạch thổ cư,thế Dương, view đẹp
Gần khu dân cư, điện nước đầy đủ
Đường bê tông 5m, cách nhựa 1km
Cách KDL thác voi, chùa linh ẩn 3,5km
Sát cụm phân lô nghỉ dưỡng
Giá tốt : 4 tỷ 550
Còn rất nhiều sản phẩm đẹp, giá đầu tư, theo dõi Zalo :  đề cập nhật sản phẩm
- SP1 NAM HÀ : 500M2 ( 11 x 47) QH đất ở 100% giá 1ty250
- SP2 NAM HÀ: 2.000m2 ( 23 x 97 ) QH 50% đất ở view đẹp giá 2ty6
- SP3 NAM HÀ : 2.566m2 giáp suối, gần KDL thác voi, chùa linh ẩn view đẹp giá 2 tỷ9
- SP4 NAM HÀ : 4 xao26, view hồ ( 32 x 100m) nở hậu 80 giá 790tr/xào
- SP5 : NAM HÀ : 4 xào . sẵn 100m thổ cư thế dương view đẹp giá 1ty150/xào
- SP6 : NAM HÀ 100 x 100M ( sẵn 400m TC ) QH 50% đất ở thích hợp phân lô giá 12 tỷ
- SP7 : MÊ LINH : 8 xao27 ( 80 x 100) 2 mặt tiền giáp rừng thông giá 850tr/xào
- SP8 MÊ LINH: 3xao6 view suối ngay ủy ban xã mê linh giá 6ty5
- SP9.1 MÊ LINH : 1 xào 3 100m thổ cư thôn 2 mê linh giá 2ty7
- SP10 NAM BAN : 4 xào 2 giáp rừng thông quy hoạch đất ở 100% giá 1ty4/ xào
- SP11 NAM BAN : 2.000m2 giáp suối giá 1 tỷ 4
- SP12 ĐÔNG THANH 13 x 73M 100m đất ở gần ủy ban giá 2ty6
- SP13 ĐÔNG THANH : 10 x 50m sẵn 100m TC giá 1ty6
- SP1134 GIA LÂM :10 x 80 sẵn 200m thổ cư , 2 sổ , nhà cấp 4 ngay ủy ban giá 2 ty050
LH :  để coi đất thực tế. chân thành cảm ơn !"
325,"BÁN NHÀ 148 NGỌC HỒI HOÀNG MAI 32m 6 TẦNG LÔ GÓC OTO ĐỖ CỬA NGÕ THÔNG GIÁ
2.99 TỶ
NHÀ NGÕ TO THÔNG RỘNG RÃI THOÁNG MÁTVÀI BƯỚC RA PHỐGẦN TRƯỜNG VIỆT BA,BẾN
XE NƯỚC NGẦM.
Thiết kế:
Tầng 1:Bếp ,để xe ,wc
Tầng 2:Tầng lửng phòng khách
Tầng 3.4,5:Mỗi tầng 1 phòng ngủ
Tầng 6:Phòng  thờ ,sân phơi
SỔ ĐỎ CHÍNH CHỦ"
326,"HOÀN KIẾM - LÔ GÓC - SÁT HỒ.
+Phố Ngõ Huyện diện tích 35m2 ,6 tầng ,mặt tiền 9m ,giá 19 tỷ .
+ Trung tâm Hoàn Kiếm đi bộ ra hồ, khu vực lưu trú nhiều du khách trong và ngoài nước, kinh doanh sầm uất ngày đêm. Gần các trung tâm thương mại ,trường học,bệnh viện , gần chợ ,an ninh đỉnh , hàng xóm thân thiện .
+ Nhà xây chắc chắn khung cột, bê tông cốt thép chắc chắn, lô góc 2 thoáng.
+Thiết kế gồm 6 tầng:
+ Tầng 1: kinh doanh, wc
+ Tầng 2, bếp, phòng ăn
+ Tầng 3, 4, 5 mỗi tầng 1 phòng 1 wc.
+ Tầng 6: phòng thờ, sân phơi.
+ Sổ đỏ sẵn sàng giao dịch"
327,"Bán nhanh 15000 m2 đất view hồ Đồng Sương Chương Mỹ Hà Nội - 300m mặt hồ
- Vị trí cách TT Hà Nội hơn 20km.
- Phù hợp xây dựng khu nghỉ dưỡng, khu du lịch sinh thái, hồ câu giải trí.
- Pháp lý chuẩn, sổ chính chủ
- Giá bán 1,95 triệu/m2
LH Mr Tùng - tư vấn làm việc trực tiếp cùng chủ nhà
Có 2,3 phương án cho khách đầu tư lẻ diện tích
5000m2 thổ cư 200m
4000m2 thổ cư 200m
6000m2 thổ cư 200m
Mọi thửa đều có giấy tờ, sổ giao khoán đấy đủ, giao dịch sẵn sàng. Khách chưa yên tâm mời làm việc trực tiếp chủ nhà, làm việc cùng cán bộ xã, đơn vị hợp tác xã trực tiếp quản lý, mọi giấy tờ yên tâm giao dịch."
328,"Chính chủ - Bán chung cư CT2 đại học Bách Khoa - Đại Cồ Việt - Hai Bà Trưng.
Căn hộ gần nhiều trường học - siêu thị - chợ - đầy đủ tiện nghi - nội thất cơ bản đầy đủ.
Giá bán: 593tr - 800tr - 941tr - hơn 1 tỷ.
Diện tích: 47m2 - 48m2 - 49m2 - 50m2 - 52m2 - 55m2.
Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.
Liên hệ trực tiếp chủ đầu tư để mua nhà."
329,"BÁN NHÀ BỒ ĐỀ,DÂN XÂY,Ô TÔ ĐỖ CỬA,40M2,GIÁ 3.7 TỶ
+ nhà 4 tầng, khung cột chắc chắn, 4 phòng ngủ, thích hợp cho hộ gia đình ở và làm việc.
+ Nhà nằm trong  khu trung tâm sầm uất Long biên,ngõ thông sang các ngả, đi lại thuận tiện, dân trí cao , tiện ích khu vực bạt ngàn ,cách cầu chương dương chỉ vài bước chân.
+ gần đó: bệnh viện đa khoa tâm anh, chợ mua sắm, trường học cấp 1,2,3, gần công viên,hồ điều hòa,  phố ẩm thực ngọc lâm.
+ nhà Mặt tiền rộng 4.85m : thoáng mát,ô tô 7 chỗ đỗ cửa nhà , nhà ngay gần mặt ngõ.
+ khu vực xung quanh hàng xóm công chức nhà nước, dân trí cực cao,tiện ích gần nhà cái gì cũng có.

+ Diện tích :38.2 m2 , giá 3.7 tỷ .
+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.
+ liên hệ : lê chung .( miễn trung gian ,môi giới )"
330,"- Cần bán đất VAC 6 sào, đã có sẵn nhà 28m2, ao, vườn. Giá 2 tỷ.
- Vị trí : Thuộc Lục Xuân - Võng Xuyên - Phúc Thọ - Hà Nội.
- Nếu bạn là người yêu thiên nhiên và mơ ước có mảnh đất trồng rau sạch, nuôi vài con gà, trồng ít cây hoa, tha hồ hít thở bầu không khí trong lành mà không phải đi xa thì inbox ngay nhé ạ."
331,"VỊ TRÍ: Chung Cư mini Nguyễn TrãiNgã Tư Sở có vị trí trung tâm quận Thanh Xuân, đường vào rộng.
Nằm trong khu dân trí cao: gần trường mầm non, trường tiểu học Nguyễn Trãi, ĐH Y Hà Nội, ĐH Ngân Hàng, ĐH Thủy Lợi, Công Đoàn, ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, ĐH Xây Dựng, Khoa Học Xã Hội Nhân Văn.,.
Hưởng trọn tiện ích của khu vực
QUY MÔ VÀ THIẾT KẾ: Chung Cư Nguyễn TrãiNgã Tư Sở được thiết kế sang trọng với quy mô gồm 03 căn/ 01 tầng Các căn hộ được thiết kế từ  2PN - 3PN, 01 ban công, 1 bếp, 1WC  2WC.
Các phòng đều được thiết kế thoáng mát,phù hợp với nhu cầu của gia đình trẻ
NỘI THẤT: Chung Cư Nguyễn TrãiNgã Tư Sở được trang bị đầy đủ nội thất cao cấp từ sàn gạch, trần thạch cao, bếp âm, hút mùi, tủ bếp trên dưới, hệ thống điện trang trí, chiếu sáng, các đầu chờ điều hòa, internet, truyền hình cáp,.
GIÁ BÁN:Chung Cư Nguyễn TrãiNgã Tư Sở sở hữu một mức giá vô cùng hợp lý:
Diện tích:48m2 - 51m2 - 56m2.
Gía bán:760tr - 1.050tỷ - 1.160tỷ - 1.230tỷ
Chiết khấu cao lên đến 50triệu
PHÁP LÝ: Khi mua căn hộ Chung Cư Nguyễn TrãiNgã Tư Sở quý khách hàng hoàn toàn yên tâm về giấy tờ pháp lý: Được nhận đầy đủ giấy tờ theo quy định của nhà nước hiện hành."
332,"CĂN HỘ NGUYỄN TRÃI - VỊ TRÍ KẾT NỐI GIAO THÔNG THUẬN LỢI
VỊ TRÍ KẾT NỐI GIAO THÔNG THUẬN LỢI.
VỊ TRÍ VÀNG: Nằm trong khu dân trí cao: gần trường mầm non, trường tiểu học Nguyễn Trãi, ĐH Y Hà Nội, ĐH Ngân Hàng, ĐH Thủy Lợi, Công Đoàn, ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, ĐH Xây Dựng, Khoa Học Xã Hội Nhân Văn
1 BƯỚC CH N: Siêu thị
3 PHÚT: Royal City
TẠO NÊN SỰ KHÁC BIỆT CHO CHỦ NH N VỚI SỐ CÒN LẠI.
Được tận hưởng cảm giác sinh hoạt gia đình trong chính căn hộ của mình
Sở hữu căn hộ giá rẻ trung tâm thành phố
Giá tốt nhất phân khúc thành phố, tốt nhất khu vực Thanh Xuân
Thiết kế đa dạng 48 - 53m2 gồm 2PN."
333,"TRUNG TÂM THANH XUÂN PHỐ NHÂN HÒA- 6 TẦNG THANG MÁY - NGÕ 3M GẦN PHỐ CỰC HIẾM.
DIỆN TÍCH 40M XÂY MỚI 6 TẦNG THANG MÁY HIỆN ĐẠI
Vị trí:
Ngõ trước nhà rộng 3m. Chỉ 30m ra mặt phố.
Nhà xây 6 tầng thang máy thiết kế thông sàn hiện đại.
Khu vực giao thông thuận tiện giáp các Quận Cầu Giấy, Đống Đa, trung tâm Thanh Xuân gần Ngã Tư Sở
Gần nhà là các trường Đại Học lớn ĐH Thủy Lợi, ĐH Công Đoàn, ĐH Y Hà Nội
Sổ đỏ chính chủ, giao dịch ngay.
Liên hệ xem nhà Phạm Huy. Xin cảm ơn !
QuậnThanhXuân"
334,"CƠ HỘI ĐẦU TƯ CÓ 1 - 0 - 2
CÔNG DÂN TÂY HỒ - CÁCH HỒ 100M
KINH DOANH CHO THUÊ - APARTMENT HIỆU SUẤT CAO.
Nhà Lạc Long Quân 78 m 4 tầng mặt tiền 5.7 m giá 4.5 tỷ Tây Hồ
- Nhà 4 tầng cũ, ở hoặc cho thuê đều hợp lý.
- Mảnh đất đẹp, nở hậu. Thực tế 78m từ tầng 1.
- Khu vực gần hồ, cách đường oto 50m, cách Hồ Tây 100m."
335,"Chính chủ bán chung cư CT3 Thượng Đình - Nguyễn Trãi - Ngã Tư Sở - Thanh Xuân.
Chung cư xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.
Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.
Giá bán: 609tr - 700tr - 922tr - 1 tỷ.
Diện tích: 45m2 - 48m2 - 49m2 - 50m2 - 58m2 - 65m2.
Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.
Liên hệ trực tiếp chủ đầu tư để mua nhà - add Zalo để nhận video căn hộ."
336,"NHÀ ĐẸP - TRUNG TÂM CẦU GIẤY- NGÕ Thông - VÀI BƯỚC RA Ô TÔ TRÁNH.
+ Ngõ trước nhà thông thoáng, xe máy tránh nhau, quay đầu thoải mái, cách đường ô tô tránh vài bước đi bộ.
+ Nhà 5 tầng chủ xây dựng kiên cố,công năng đầy đủ, đã full nội thất, có thể chuyển đồ về ở ngay
Thiết kế :
- Tầng 1 : Phòng khách + bếp.
- Tầng 2,3,4 : Mỗi tầng 1 Phòng ngủ.
- Tầng 5 : Phòng thờ + sân phơi.
+ Sổ đỏ vuông vắn trước sau như nhau, giao dịch ngay."
337,"NHÀ ĐẸP Ở LUÔN - SIÊU PHẨM CẦU GIẤY - XUNG QUANH TIỆN ÍCH ĐẦY ĐỦ - LÔ GÓC- THANG MÁY - GẦN PHỐ
Mô tả:
- Nhà bán nằm ở khu vực trung tâm xung quanh cực kì nhiều tiện ích và các trường đại học lớn như là : ĐHQG, Báo Chí, Điện Lực.
- Nhà thiết kế hiện đại, 6 tầng thang máy chạy vù vù, cực kì đẹp và hợp lý
Thiết kế:
- Tầng 1: phòng khách.
-Tầng 2,3,4,5: mỗi tầng 1 phòng + WC"
338,"Chính chủ bán đất diện tích lớn, phù hợp xây nhà vườn tại Đông Dư, Gia Lâm.
Đất rộng 288m,cả 2 đường đều là ô tô tránh, cách đường lên đê Long Biên, Xuân Quan chỉ vài bước, giao thông thuận tiện.
Ngõ thông oto tránh.
View thoáng trước sau, điểm nhấn là trước mặt là hồ sinh thái, không thể đẹp hơn.
Chủ mới về xây nhà vườn, đúng thể hiện là bậc đại gia.
Không gian thoáng đãng, gió sông, gió hồ, giao thông thuận tiện.
Ngõ to, kinh doanh sầm uất.
Pháp lý chính chủ
Liên hệ Long nhà đất."
339,"NHÀ ĐẸP Ở LUÔN - SIÊU PHẨM CẦU GIẤY - XUNG QUANH TIỆN ÍCH ĐẦY ĐỦ  - GẦN PHỐ
Mô tả:
- Nhà bán nằm ở khu vực trung tâm xung quanh cực kì nhiều tiện ích và các trường đại học lớn như là : ĐHQG, Báo Chí, Điện Lực.
- Nhà thiết kế hiện đại, 4 tầng, cực kì đẹp và hợp lý
Thiết kế:
- Tầng 1: phòng khách.bếp
-Tầng 2,3: mỗi tầng 2 phòng
- Tầng 4: Phòng thờ, sân phơi
Giá bán 5 tỷ"
